Model,Query,n,median,std,min,max,IQR,CV_%
A1,Q1,20.0,732.1,35.1,689.7,810.6,31.0,4.8
A1,Q2a,20.0,757.5,250.7,708.6,1872.5,51.0,33.1
A1,Q2b,20.0,741.6,25.1,697.9,800.2,27.1,3.4
A1,Q2c,20.0,759.2,18.4,734.7,805.8,18.6,2.4
A1,Q4,20.0,76.4,4.0,71.2,88.4,4.1,5.3
A1,Q5,20.0,942.5,24.5,894.9,984.5,30.5,2.6
A1,Q6,20.0,883.6,20.2,850.6,929.2,18.0,2.3
A1,Q7,20.0,1473.0,60.2,1414.4,1665.0,40.5,4.1
A2,Q1,20.0,761.1,17.8,730.4,791.7,23.5,2.3
A2,Q2a,20.0,764.0,17.0,735.6,792.4,27.3,2.2
A2,Q2b,20.0,778.5,32.4,712.6,854.5,49.4,4.2
A2,Q2c,20.0,771.5,20.9,739.3,820.6,30.3,2.7
A2,Q4,20.0,256.8,5.5,246.5,264.7,6.4,2.1
A2,Q5,20.0,973.6,24.5,940.4,1017.3,39.7,2.5
A2,Q6,20.0,1000.6,46.6,944.9,1104.6,57.7,4.7
A2,Q7,20.0,1524.9,39.5,1460.2,1634.4,43.9,2.6
A3,Q1,20.0,756.9,19.1,719.3,801.2,18.6,2.5
A3,Q2a,20.0,762.8,19.9,743.9,812.7,33.2,2.6
A3,Q2b,20.0,782.9,19.9,753.6,817.9,35.2,2.5
A3,Q2c,20.0,814.8,26.1,763.2,867.0,32.9,3.2
A3,Q4,20.0,274.1,9.0,259.4,294.0,10.6,3.3
A3,Q5,20.0,1068.1,26.7,1012.6,1109.5,37.7,2.5
A3,Q6,20.0,1071.2,21.2,1018.2,1095.5,29.2,2.0
A3,Q7,20.0,1661.0,25.9,1608.1,1705.4,30.3,1.6
A4,Q1,20.0,830.1,20.3,773.5,844.1,25.9,2.4
A4,Q2a,20.0,845.0,23.2,802.6,893.8,30.1,2.7
A4,Q2b,20.0,853.8,26.5,806.3,894.9,40.8,3.1
A4,Q2c,20.0,850.8,22.6,795.3,891.5,24.8,2.7
A4,Q4,20.0,293.7,7.2,278.2,303.5,10.8,2.5
A4,Q5,20.0,1080.9,24.6,1053.5,1134.3,32.2,2.3
A4,Q6,20.0,1069.5,24.2,1043.4,1113.7,41.4,2.3
A4,Q7,20.0,1700.9,30.6,1667.3,1785.8,35.9,1.8
A5,Q1,20.0,2919.4,122.2,2784.9,3398.6,60.5,4.2
A5,Q2a,20.0,3172.6,33.4,3091.3,3210.9,40.6,1.1
A5,Q2b,20.0,3201.6,49.1,3068.2,3259.6,46.0,1.5
A5,Q2c,20.0,3182.8,69.1,3103.6,3412.1,76.1,2.2
A5,Q4,20.0,2004.9,52.0,1965.9,2162.7,23.4,2.6
A5,Q5,20.0,3980.3,63.3,3865.8,4074.2,96.3,1.6
A5,Q6,20.0,3738.5,50.6,3630.4,3813.9,65.4,1.4
A5,Q7,20.0,4607.6,190.3,4358.6,5324.2,91.5,4.1
A6,Q1,20.0,28457.7,2370.8,28140.8,39047.6,262.7,8.3
A6,Q2a,20.0,29054.9,299.1,28641.8,29720.8,437.8,1.0
A6,Q2b,20.0,29325.4,256.7,28769.4,29654.6,405.6,0.9
A6,Q2c,20.0,29322.1,260.8,28845.7,29782.8,372.7,0.9
A6,Q4,20.0,23450.3,1750.9,19991.8,25824.2,2711.8,7.5
A6,Q5,20.0,30050.4,2052.6,28854.0,36637.8,2271.7,6.8
A6,Q6,20.0,26726.0,480.2,26442.7,28076.9,807.4,1.8
A6,Q7,20.0,28803.0,598.3,27888.4,30489.7,760.5,2.1
A7,Q1,20.0,313447.5,12491.6,279344.9,342494.5,8627.5,4.0
A7,Q2a,20.0,303300.6,21426.8,270234.2,336519.6,35467.8,7.1
A7,Q2b,20.0,335685.2,12208.5,291532.5,354709.1,8891.2,3.6
A7,Q2c,20.0,347109.4,13170.5,320141.5,367903.0,15346.2,3.8
A7,Q4,20.0,187857.6,19182.6,183256.1,257575.1,24162.9,10.2
A7,Q5,20.0,336899.7,32049.2,286685.3,390169.0,52934.3,9.5
A7,Q6,20.0,296804.9,12809.5,282589.0,339240.1,11027.8,4.3
A7,Q7,20.0,254749.8,8062.4,243038.4,271981.3,9323.6,3.2
